,,,,,,
Агент,№(из...),ЛС,Телефон,Регион,Баланс,ИНН
"ООО ""ИНТРАСТПЕЙ""",,20574857,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574859,9292621681,Ханты-Мансийский автономный округ,"-4,55",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574861,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574864,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574873,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574876,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574881,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574883,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574885,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574890,,Ханты-Мансийский автономный округ,"0,13",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574892,,Ханты-Мансийский автономный округ,"38,67",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574893,9292609007,Ханты-Мансийский автономный округ,"-133,97",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574894,,Ханты-Мансийский автономный округ,"-28,01",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574897,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574899,9224883330,Ханты-Мансийский автономный округ,"-687,25",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574902,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574903,,Ханты-Мансийский автономный округ,"44,86",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574906,,Ханты-Мансийский автономный округ,9,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574934,9224884662,Ханты-Мансийский автономный округ,"-62,73",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20574973,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20575145,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20575185,,Ханты-Мансийский автономный округ,"30,65",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20575430,9224885314,Ханты-Мансийский автономный округ,"46,93",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20575432,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20575687,,Ханты-Мансийский автономный округ,"51,77",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20575764,9292620078,Ханты-Мансийский автономный округ,"-1542,36",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20575920,,Ханты-Мансийский автономный округ,"55,84",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20576094,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20576178,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20576356,9224886072,Ханты-Мансийский автономный округ,"-218,84",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20576358,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20576502,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20576591,9224886195,Ханты-Мансийский автономный округ,"-330,81",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20576708,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20576976,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20577156,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20577372,,Ханты-Мансийский автономный округ,"14,19",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20577588,,Ханты-Мансийский автономный округ,"194,86",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20577988,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20578210,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20578443,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20578552,9224888123,Ханты-Мансийский автономный округ,"-157,8",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20578811,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20579053,9224888161,Ханты-Мансийский автономный округ,"60,58",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20579054,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20579424,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20579808,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20579816,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20579992,9292618424,Ханты-Мансийский автономный округ,"-148,26",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20580052,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20580246,,Ханты-Мансийский автономный округ,"-2000,36",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20580334,,Ханты-Мансийский автономный округ,"-10,06",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20580539,9292618664,Ханты-Мансийский автономный округ,"-30,13",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20580613,9224890448,Ханты-Мансийский автономный округ,"-43,45",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20580926,9224890637,Ханты-Мансийский автономный округ,"85,68",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20581215,9222652712,Ханты-Мансийский автономный округ,"-67,44",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20581536,9222653481,Ханты-Мансийский автономный округ,"-53,51",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20581907,9292618773,Ханты-Мансийский автономный округ,"-209,53",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20581914,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20582166,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20582202,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20582419,,Ханты-Мансийский автономный округ,"69,2",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20582631,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20582881,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20582886,9224893744,Ханты-Мансийский автономный округ,"-106,69",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583014,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583016,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583017,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583019,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583024,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583025,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583026,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583030,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583031,9224899923,Ханты-Мансийский автономный округ,"115,51",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583035,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583038,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583039,9292607007,Ханты-Мансийский автономный округ,"-4,08",7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583042,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583045,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583046,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583048,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583051,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583052,,Ханты-Мансийский автономный округ,0,7202210684
"ООО ""ИНТРАСТПЕЙ""",,20583057,,Ханты-Мансийский автономный округ,0,7202210684
